instance,halo_depth,expansion_ratio_mean,halo_fraction_mean,owned_total
CA-100-0076,2,5.448060534124629,4.448071216617211,337
CA-100-0076,4,6.000017507418398,5.0,337
CA-100-0077,0,1.0,0.0,339
CA-100-0077,1,2.5457132743362827,1.5457227138643068,339
CA-100-0077,2,5.197645132743363,4.1976401179941005,339
CA-100-0077,4,6.000030088495575,5.0,339
CA-100-0078,0,1.0,0.0,334
CA-100-0078,1,2.787415269461078,1.7874251497005988,334
CA-100-0078,2,5.31735239520958,4.317365269461078,334
CA-100-0078,4,6.000000598802395,5.0,334
CA-100-0079,0,1.0,0.0,334
CA-100-0079,1,2.886224550898204,1.8862275449101797,334
CA-100-0079,2,5.482013173652694,4.482035928143713,334
CA-100-0079,4,6.000000598802395,5.0,334
CA-100-0080,0,1.0,0.0,337
CA-100-0080,1,3.1127563798219584,2.112759643916914,337
CA-100-0080,2,5.545997922848664,4.545994065281899,337
CA-100-0080,4,6.000038872403562,5.0,337
CA-100-0081,0,1.0,0.0,338
CA-100-0081,1,2.7633044378698224,1.7633136094674555,338
CA-100-0081,2,5.307667159763314,4.3076923076923075,338
CA-100-0081,4,5.999982248520711,5.0,338
CA-100-0082,0,1.0,0.0,336
CA-100-0082,1,2.9702333333333337,1.9702380952380953,336
CA-100-0082,2,5.51785,4.517857142857143,336
CA-100-0082,4,6.0,5.0,336
CA-100-0083,0,1.0,0.0,336
CA-100-0083,1,3.1696333333333335,2.169642857142857,336
CA-100-0083,2,5.633916666666666,4.633928571428571,336
CA-100-0083,4,6.0,5.0,336
CA-100-0084,0,1.0,0.0,331
CA-100-0084,1,2.743195166163142,1.743202416918429,331
CA-100-0084,2,5.392750151057402,4.3927492447129906,331
CA-100-0084,4,6.000012688821752,5.0,331
CA-100-0085,0,1.0,0.0,338
CA-100-0085,1,2.532527218934911,1.532544378698225,338
CA-100-0085,2,5.136103254437869,4.136094674556213,338
CA-100-0085,4,5.964499112426036,4.964497041420119,338
CA-100-0086,0,1.0,0.0,339
CA-100-0086,1,2.8112224188790558,1.8112094395280236,339
CA-100-0086,2,5.395303244837757,4.3952802359882,339
CA-100-0086,4,6.000030088495575,5.0,339
CA-100-0087,0,1.0,0.0,340
CA-100-0087,1,2.81176,1.811764705882353,340
CA-100-0087,2,4.75882,3.7588235294117647,340
CA-100-0087,4,5.0,4.0,340
CA-100-0088,0,1.0,0.0,335
CA-100-0088,1,2.25076,1.2507462686567163,335
CA-100-0088,2,4.29852,3.298507462686567,335
CA-100-0088,4,4.96416,3.964179104477612,335
CA-100-0089,0,1.0,0.0,337
CA-100-0089,1,3.0741721068249253,2.0741839762611276,337
CA-100-0089,2,5.548959050445104,4.548961424332345,337
CA-100-0089,4,6.000038872403561,5.0,337
CA-100-0090,0,1.0,0.0,337
CA-100-0090,1,2.652826706231454,1.6528189910979227,337
CA-100-0090,2,5.249257863501484,4.249258160237389,337
CA-100-0090,4,5.970306231454005,4.970326409495549,337
CA-100-0091,0,1.0,0.0,338
CA-100-0091,1,2.878697633136095,1.878698224852071,338
CA-100-0091,2,5.467451479289941,4.4674556213017755,338
CA-100-0091,4,5.99998224852071,5.0,338
CA-100-0092,0,1.0,0.0,337
CA-100-0092,1,2.697326409495549,1.6973293768545994,337
CA-100-0092,2,5.299686646884273,4.299703264094956,337
CA-100-0092,4,6.000038872403561,5.0,337
CA-100-0093,0,1.0,0.0,333
CA-100-0093,1,2.831828828828829,1.8318318318318318,333
CA-100-0093,2,5.381378678678678,4.381381381381382,333
CA-100-0093,4,5.9999630630630625,5.0,333
CA-100-0094,0,1.0,0.0,336
CA-100-0094,1,2.30655,1.306547619047619,336
CA-100-0094,2,4.8243833333333335,3.824404761904762,336
CA-100-0094,4,5.9910499999999995,4.991071428571429,336
CA-100-0095,0,1.0,0.0,332
CA-100-0095,1,3.2319253012048197,2.2319277108433737,332
CA-100-0095,2,5.707843072289157,4.707831325301205,332
CA-100-0095,4,6.000033734939759,5.0,332
CA-100-0096,0,1.0,0.0,335
CA-100-0096,1,2.68656,1.6865671641791045,335
CA-100-0096,2,4.641780000000001,3.6417910447761193,335
CA-100-0096,4,5.0,4.0,335
CA-100-0097,0,1.0,0.0,338
CA-100-0097,1,2.757405325443787,1.757396449704142,338
CA-100-0097,2,5.429001479289941,4.428994082840236,338
CA-100-0097,4,5.999982248520711,5.0,338
CA-100-0098,0,1.0,0.0,338
CA-100-0098,1,2.8342928994082843,1.834319526627219,338
CA-100-0098,2,5.464488165680474,4.464497041420119,338
CA-100-0098,4,5.999982248520711,5.0,338
CA-100-0099,0,1.0,0.0,338
CA-100-0099,1,2.9260612426035504,1.9260355029585798,338
CA-100-0099,2,5.541418934911242,4.541420118343195,338
CA-100-0099,4,5.999982248520711,5.0,338
CA-100-0100,0,1.0,0.0,339
CA-100-0100,1,2.5899681415929203,1.5899705014749264,339
CA-100-0100,2,5.247794100294985,4.247787610619469,339
CA-100-0100,4,6.000030088495575,5.0,339
CA-100-0101,0,1.0,0.0,338
CA-100-0101,1,2.727802366863905,1.727810650887574,338
CA-100-0101,2,5.343205621301776,4.34319526627219,338
CA-100-0101,4,5.999982248520711,5.0,338
CA-100-0102,0,1.0,0.0,336
CA-100-0102,1,3.2023833333333336,2.2023809523809526,336
CA-100-0102,2,5.66665,4.666666666666667,336
CA-100-0102,4,6.0,5.0,336
CA-100-0103,0,1.0,0.0,339
CA-100-0103,1,2.787621533923304,1.7876106194690264,339
CA-100-0103,2,5.389372566371682,4.389380530973451,339
CA-100-0103,4,6.000019469026548,5.0,339
CA-100-0104,0,1.0,0.0,337
CA-100-0104,1,3.124622255192878,2.1246290801186944,337
CA-100-0104,2,5.626097329376855,4.626112759643917,337
CA-100-0104,4,6.000038872403561,5.0,337
CA-100-0105,0,1.0,0.0,333
CA-100-0105,1,3.0900831831831828,2.09009009009009,333
CA-100-0105,2,5.603611111111111,4.603603603603603,333
CA-100-0105,4,5.9999630630630625,5.0,333
CA-100-0106,0,1.0,0.0,336
CA-100-0106,1,3.1101166666666664,2.1101190476190474,336
CA-100-0106,2,5.583333333333333,4.583333333333333,336
CA-100-0106,4,6.0,5.0,336
CA-100-0107,0,1.0,0.0,337
CA-100-0107,1,2.7270136498516324,1.7270029673590503,337
CA-100-0107,2,5.3085913946587535,4.308605341246291,337
CA-100-0107,4,5.997064391691396,4.997032640949555,337
CA-100-0108,0,1.0,0.0,336
CA-100-0108,1,2.56845,1.568452380952381,336
CA-100-0108,2,5.163716666666668,4.163690476190476,336
CA-100-0108,4,6.0,5.0,336
CA-100-0109,0,1.0,0.0,337
CA-100-0109,1,2.4095133531157265,1.4094955489614243,337
CA-100-0109,2,4.988121068249258,3.9881305637982196,337
CA-100-0109,4,5.970306231454005,4.970326409495549,337
CA-100-0110,0,1.0,0.0,336
CA-100-0110,1,2.75,1.75,336
CA-100-0110,2,5.401766666666666,4.401785714285714,336
CA-100-0110,4,6.0,5.0,336
CA-100-0111,0,1.0,0.0,335
CA-100-0111,1,2.59104,1.591044776119403,335
CA-100-0111,2,4.603000000000001,3.6029850746268655,335
CA-100-0111,4,5.0,4.0,335
CA-100-0112,0,1.0,0.0,339
CA-100-0112,1,2.660771091445428,1.6607669616519174,339
CA-100-0112,2,5.268431563421829,4.268436578171092,339
CA-100-0112,4,6.000030088495575,5.0,339
CA-100-0113,0,1.0,0.0,332
CA-100-0113,1,2.6265156626506023,1.6265060240963856,332
CA-100-0113,2,5.228907228915663,4.228915662650603,332
CA-100-0113,4,5.966884939759036,4.966867469879518,332
CA-100-0114,0,1.0,0.0,339
CA-100-0114,1,2.498519174041298,1.4985250737463127,339
CA-100-0114,2,5.132715634218289,4.132743362831858,339
CA-100-0114,4,5.997073156342183,4.997050147492625,339
CA-100-0115,0,1.0,0.0,337
CA-100-0115,1,2.780407121661721,1.7804154302670623,337
CA-100-0115,2,5.406538872403561,4.406528189910979,337
CA-100-0115,4,6.000038872403561,5.0,337
CA-100-0116,0,1.0,0.0,333
CA-100-0116,1,2.4864639639639643,1.4864864864864864,333
CA-100-0116,2,5.1621696696696695,4.162162162162162,333
CA-100-0116,4,5.9999630630630625,5.0,333
CA-100-0117,0,1.0,0.0,334
CA-100-0117,1,2.922174850299401,1.9221556886227544,334
CA-100-0117,2,5.4970098802395215,4.497005988023952,334
CA-100-0117,4,6.000000598802395,5.0,334
CA-100-0118,0,1.0,0.0,335
CA-100-0118,1,2.6417800000000002,1.6417910447761195,335
CA-100-0118,2,4.65374,3.653731343283582,335
CA-100-0118,4,5.0,4.0,335
CA-100-0119,0,1.0,0.0,334
CA-100-0119,1,2.8861958083832335,1.8862275449101797,334
CA-100-0119,2,5.53593502994012,4.5359281437125745,334
CA-100-0119,4,6.000000598802395,5.0,334
CA-100-0120,0,1.0,0.0,336
CA-100-0120,1,3.1101,2.1101190476190474,336
CA-100-0120,2,5.624999999999999,4.625,336
CA-100-0120,4,6.0,5.0,336
CA-100-0121,0,1.0,0.0,338
CA-100-0121,1,2.6331328402366867,1.6331360946745561,338
CA-100-0121,2,5.313599704142011,4.313609467455621,338
CA-100-0121,4,5.999982248520711,5.0,338
CA-100-0122,0,1.0,0.0,336
CA-100-0122,1,2.97025,1.9702380952380953,336
CA-100-0122,2,5.5714500000000005,4.571428571428571,336
CA-100-0122,4,6.0,5.0,336
CA-100-0123,0,1.0,0.0,336
CA-100-0123,1,3.0387017857142857,2.0386904761904763,336
CA-100-0123,2,5.604154761904762,4.604166666666667,336
CA-100-0123,4,5.999995238095238,5.0,336
CA-100-0124,0,1.0,0.0,341
CA-100-0124,1,2.4281607038123165,1.4281524926686218,341
CA-100-0124,2,4.979467448680352,3.9794721407624634,341
CA-100-0124,4,6.000039002932551,5.0,341
CA-100-0125,0,1.0,0.0,338
CA-100-0125,1,2.6686381656804734,1.668639053254438,338
CA-100-0125,2,5.29882426035503,4.298816568047338,338
CA-100-0125,4,5.999982248520711,5.0,338
CA-100-0126,0,1.0,0.0,341
CA-100-0126,1,2.762467448680352,1.7624633431085044,341
CA-100-0126,2,5.460408504398827,4.46041055718475,341
CA-100-0126,4,6.000039002932551,5.0,341
CA-100-0127,0,1.0,0.0,338
CA-100-0127,1,2.7662846153846155,1.7662721893491125,338
CA-100-0127,2,5.387571301775148,4.387573964497041,338
CA-100-0127,4,5.999982248520711,5.0,338
CA-100-0128,0,1.0,0.0,335
CA-100-0128,1,2.61792,1.617910447761194,335
CA-100-0128,2,4.6388,3.638805970149254,335
CA-100-0128,4,5.0,4.0,335
CA-100-0129,0,1.0,0.0,336
CA-100-0129,1,2.6250142857142857,1.625,336
CA-100-0129,2,5.172628273809524,4.1726190476190474,336
CA-100-0129,4,5.999995238095238,5.0,336
CA-100-0130,0,1.0,0.0,336
CA-100-0130,1,2.4523833333333336,1.4523809523809523,336
CA-100-0130,2,5.056533333333332,4.056547619047619,336
CA-100-0130,4,6.0,5.0,336
CA-100-0131,0,1.0,0.0,337
CA-100-0131,1,2.943646587537092,1.943620178041543,337
CA-100-0131,2,5.448061721068249,4.448071216617211,337
CA-100-0131,4,6.000038872403561,5.0,337
CA-100-0132,0,1.0,0.0,339
CA-100-0132,1,2.8023480825958704,1.8023598820058997,339
CA-100-0132,2,5.386420353982301,4.386430678466077,339
CA-100-0132,4,6.000030088495575,5.0,339
CA-100-0133,0,1.0,0.0,337
CA-100-0133,1,2.7715103857566765,1.771513353115727,337
CA-100-0133,2,5.317526706231455,4.317507418397626,337
CA-100-0133,4,6.0000323442136505,5.0,337
CA-100-0134,0,1.0,0.0,339
CA-100-0134,1,2.7610657817109145,1.761061946902655,339
CA-100-0134,2,5.356928023598821,4.35693215339233,339
CA-100-0134,4,6.000030088495575,5.0,339
CA-100-0135,0,1.0,0.0,331
CA-100-0135,1,2.894261933534743,1.894259818731118,331
CA-100-0135,2,5.525667673716011,4.525679758308157,331
CA-100-0135,4,6.000012688821752,5.0,331
CA-100-0136,0,1.0,0.0,336
CA-100-0136,1,3.416655357142857,2.4166666666666665,336
CA-100-0136,2,5.747035119047619,4.747023809523809,336
CA-100-0136,4,5.999995238095238,5.0,336
CA-100-0137,0,1.0,0.0,338
CA-100-0137,1,2.7396467455621303,1.7396449704142012,338
CA-100-0137,2,5.4230745562130185,4.423076923076923,338
CA-100-0137,4,5.999982248520711,5.0,338
